Offense Case Type,Offense Date,Offense Time,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
CM,10/2/2016,12:00 AM,PUBLIC INTOXICATION,East 6th Street At Trinity,,N,APD,7802,Black,Male
CM,10/2/2016,2:15 AM,DISORDERLY CONDUCT - FIGHTING,400 Block East 6th Street,,Y,APD,7077,Hispanic,Male
TR,10/2/2016,12:15 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Rio Grande Street,,Y,APD,7400,White,Female
TR,10/2/2016,12:21 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Rio Grande Street,,Y,APD,7869,No Data,No Data
CM,10/2/2016,12:07 AM,MINOR IN POSSESSION OF ALCOHOL,600 Block San Jacinto Boulevard,,N,APD,5351,White,Female
CO,10/2/2016,12:18 AM,PEDESTRIAN WALKING AGAINST LIGHT,700 Block West 6th Street,,N,APD,7699,White,Female
CO,10/2/2016,12:41 AM,"Possess, Consume, Sell Alcohol in Prohibited Park Area",600 Block Sabine Street,,Y,APD,7043,White,Male
TR,10/2/2016,12:24 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Rio Grande Street,,N,APD,7869,Hispanic,Male
CM,10/2/2016,12:00 AM,PUBLIC INTOXICATION,120 West 5th Street,,N,APD,6492,Black,Male
CO,10/2/2016,12:41 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,600 Block Sabine Street,,Y,APD,7043,White,Male
CM,10/2/2016,2:15 AM,DISORDERLY CONDUCT - FIGHTING,400 Block East 6th Street,,Y,APD,7077,Black,Male
TR,10/2/2016,12:06 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Rio Grande Street,,Y,APD,7869,White,Male
CO,10/2/2016,1:19 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,1600 Block Cesar Chavez Street,,Y,APD,6099,White,Male
CO,10/3/2016,6:15 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7042,Black,Male
CO,10/3/2016,11:10 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block East 6th Street,,Y,APD,7042,White,Male
CO,10/3/2016,6:16 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,N,APD,7430,White,Male
CO,10/3/2016,11:30 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,300 Block Comal Street,,Y,APD,6144,Black,Male
CO,10/3/2016,7:21 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,400 Block Comal Street,,Y,APD,6144,Black,Male
CM,10/3/2016,9:18 PM,MISDEMEANOR THEFT C - LESS THAN $100,525 North Lamar Boulevard,,Y,APD,7597,White,Male
CO,10/3/2016,9:26 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,400 Block Brazos Street,,Y,APD,7430,Hispanic,Male
CM,10/3/2016,12:00 AM,DISREGARD ORDER OF A POLICE OFFICER,East 6th Street And Trinity Street,,Y,APD,6127,Hispanic,Female
CO,10/3/2016,6:38 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7430,Hispanic,Male
CO,10/3/2016,3:28 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7430,White,Male
CO,10/3/2016,6:15 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,6th Street And Neches,,Y,APD,7779,White,Male
CM,10/3/2016,12:00 AM,THEFT OF SERVICE,West 32nd Street,Guadalupe Street,Y,APD,7778,White,Male
TR,10/3/2016,3:55 PM,PEDESTRIAN WALKING AGAINST LIGHT,500 East 5th Street,,Y,APD,7779,White,Male
CM,10/3/2016,10:10 AM,Possession of Drug Paraphernalia,800 Block East 7th Street,,N,APD,3968,White,Male
CM,10/3/2016,6:45 PM,PUBLIC INTOXICATION,500 Block East 7th Street,,Y,APD,7400,White,Male
CO,10/3/2016,8:55 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block East 7th Street,,N,APD,7422,Black,Male
CO,10/3/2016,6:36 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7779,Hispanic,Male
TR,10/3/2016,3:30 PM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Neches Street,,Y,APD,7042,Hispanic,Male
CO,10/3/2016,3:30 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7042,White,Male
CO,10/3/2016,6:40 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7042,White,Female
CO,10/3/2016,12:00 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block Trinty Street,,N,APD,7779,No Data,No Data
CO,10/3/2016,3:30 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Of Neches Street,,Y,APD,7430,White,Female
TR,10/3/2016,3:55 PM,PEDESTRIAN WALKING AGAINST LIGHT,5th Street And Neches Street,,Y,APD,7042,Hispanic,Male
CO,10/3/2016,6:15 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,6th Street And Neches Street,,Y,APD,7779,White,Male
CO,10/3/2016,6:18 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7430,White,Male
CO,10/3/2016,7:00 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,300 Block East 6th Street,,Y,APD,4951,Hispanic,Male
CM,10/3/2016,12:27 PM,CRIMINAL MISCHIEF-DESTRUCTION OF PROP,600 Block North Ih 35 Service Road,,N,APD,6159,Black,Male
CM,10/3/2016,10:00 AM,Possession of Drug Paraphernalia,90 Chalmers Avenue,,Y,APD,7713,White,Female
CO,10/3/2016,10:00 AM,AGGRESSIVE SOLICITATION,800 Block East 6th Street,,N,APD,7043,White,Male
CM,10/3/2016,12:00 AM,PUBLIC INTOXICATION,East 6th Street At Medina Street,,N,APD,7592,No Data,No Data
TR,10/3/2016,3:56 PM,PEDESTRIAN WALKING AGAINST LIGHT,5th Street And Neches Street,,Y,APD,7430,White,Male
TR,10/3/2016,5:05 PM,PEDESTRIAN CROSSING MIDBLOCK,600 Block North Ih 35 Service Road,,Y,APD,7430,White,Female
CO,10/3/2016,3:30 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7779,White,Male
CO,10/3/2016,7:23 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,410 Comal Street,,Y,APD,5635,Black,Male
CO,10/4/2016,10:40 PM,HUMAN WASTE,500 Block Trinity Street,,N,APD,2641,No Data,No Data
CO,10/4/2016,3:25 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,N,APD,5617,Hispanic,Male
CO,10/4/2016,10:50 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,100 Block East 6th Street,,Y,APD,5617,White,Male
CO,10/4/2016,3:25 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5617,White,Male
CO,10/4/2016,8:45 PM,LITTERING,East 6th Street And Brazos,,Y,APD,7772,White,Male
CO,10/4/2016,9:25 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,600 Block East 7th Street,,Y,APD,5617,Black,Male
CO,10/4/2016,2:35 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5617,Hispanic,Male
CO,10/4/2016,9:40 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,603 Congress Avenue,,Y,APD,5617,White,Male
CM,10/4/2016,8:47 AM,DISREGARD ORDER OF A POLICE OFFICER,700 Block Neches Street,,Y,APD,3968,Black,Male
CO,10/4/2016,3:40 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,White,Female
CO,10/4/2016,9:10 AM,HUMAN WASTE,600 Block Sabine Street,,Y,APD,5907,White,Male
CO,10/4/2016,3:28 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,Hispanic,Male
CO,10/4/2016,3:25 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5617,Hispanic,Male
CO,10/4/2016,3:10 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,600 Block Ih 35 Service Road,,Y,APD,5907,White,Male
CM,10/5/2016,12:00 AM,PUBLIC INTOXICATION,7th Street And Sabine Street,,N,APD,4973,Black,Male
CM,10/5/2016,12:00 AM,Possession of Drug Paraphernalia,7th Street And Sabine Street,,N,APD,4973,Black,Male
TR,10/5/2016,12:00 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Neches Street,,Y,APD,7284,White,Male
TR,10/5/2016,4:55 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Trinity,,Y,APD,5351,White,Female
CO,10/5/2016,4:45 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,320 East 6th Street,,N,APD,5617,Hispanic,Male
CM,10/5/2016,1:30 AM,PUBLIC INTOXICATION,411 East 6th Street,,Y,APD,5159,White,Male
CM,10/5/2016,9:37 PM,Possession of Drug Paraphernalia,700 Block Red River Street,,Y,APD,6822,Black,Male
CM,10/5/2016,9:35 PM,Possession of Drug Paraphernalia,800 Block Red River Street,,Y,APD,6822,Black,Male
CM,10/5/2016,7:50 AM,DISORDERLY CONDUCT-INDECENT EXPOSURE #,700 Block Red River Street,,Y,APD,6971,White,Female
CO,10/5/2016,9:05 PM,HUMAN WASTE,500 Block East 6th Street,,Y,APD,7765,White,Male
CM,10/5/2016,11:21 AM,PUBLIC INTOXICATION,700 Block East 7th Street,,Y,APD,4631,Black,Male
CO,10/5/2016,4:30 PM,SMOKING ORD - WITH IN 15 FT OF PUB ENTRANCE,600 Block Congress,,Y,APD,5907,White,Male
CM,10/5/2016,2:41 AM,MINOR CONSUMING ALCOHOL,900 Block Trinity Street,,Y,APD,7445,White,Male
TR,10/5/2016,3:15 PM,PEDESTRIAN CROSSING MIDBLOCK,600 Block North Ih 35 Service Road,,Y,APD,7284,White,Male
CO,10/5/2016,3:35 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,East 6th Street And Neches Street,,N,APD,6367,White,Male
CM,10/5/2016,1:10 PM,DISORDERLY CONDUCT-INDECENT EXPOSURE #,404 East 6th Street,,Y,APD,3968,White,Male
CO,10/6/2016,9:26 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,2600 Block Guadalupe Street,,Y,APD,6766,White,Male
CM,10/6/2016,10:42 PM,PUBLIC INTOXICATION,98 San Jacinto Boulevard,,Y,APD,7638,White,Female
CO,10/6/2016,7:30 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5617,White,Male
CM,10/6/2016,11:12 AM,Possession of Drug Paraphernalia,500 Block East 6th Street,,Y,APD,6155,Black,Male
CO,10/6/2016,4:36 PM,SMOKING ORD - WITH IN 15 FT OF PUB ENTRANCE,500 Block Neches Street,,Y,APD,6155,White,Male
CO,10/6/2016,2:45 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,600 Block Sabine Street,,N,APD,5351,White,Male
CM,10/6/2016,3:00 PM,PUBLIC INTOXICATION,500 Block Trinity Street,,N,APD,7764,White,Male
CO,10/6/2016,12:30 AM,LITTERING,200 Block West 4th Street,,Y,APD,5159,White,Male
CM,10/6/2016,11:35 PM,Possession of Drug Paraphernalia,500 Block East 8th Street,,Y,APD,7625,White,Female
CO,10/6/2016,4:34 PM,SMOKING ORD - WITH IN 15 FT OF PUB ENTRANCE,600 Block Neches Street,,Y,APD,3452,White,Male
TR,10/6/2016,6:52 PM,PEDESTRIAN WALKING AGAINST LIGHT,500 Block East 7th Street,,Y,APD,6310,White,Male
CO,10/6/2016,4:32 PM,SMOKING ORD - WITH IN 15 FT OF PUB ENTRANCE,500 Block East 6th Street,,Y,APD,6155,White,Male
CO,10/6/2016,12:00 AM,"Possess, Consume, Sell Alcohol in Prohibited Park Area",600 Block Sabine Street,,Y,APD,5617,White,Female
CO,10/6/2016,5:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Sabine Street,,Y,APD,6155,Black,Male
CM,10/7/2016,3:15 PM,Possession of Drug Paraphernalia,600 Block Neches Street,,Y,APD,7765,Black,Male
CO,10/7/2016,11:50 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,100 West 6th Street,,Y,APD,6488,White,Male
CO,10/7/2016,8:08 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,7th Street And Trinity Street,,Y,APD,7567,Black,Male
TR,10/7/2016,9:06 PM,PEDESTRIAN CROSSING MIDBLOCK,500  E 7TH ST,,Y,,6294,Black,Female
CM,10/7/2016,12:00 AM,PUBLIC INTOXICATION,601 North Ih 35,,Y,APD,4729,Hispanic,Male
CM,10/7/2016,12:00 AM,THEFT OF SERVICE,311 West 6th Street,,Y,APD,5193,Hispanic,Male
CO,10/7/2016,12:25 AM,LITTERING,500 Block East 7th Street,,N,APD,5159,White,Male
CM,10/7/2016,12:00 AM,PUBLIC INTOXICATION,300 Block 6th Street,,Y,APD,6099,White,Male
TR,10/7/2016,9:01 PM,PEDESTRIAN CROSSING MIDBLOCK,500  E 7TH ST,,Y,,6294,Black,Female
TR,10/8/2016,1:02 AM,PEDESTRIAN WALKING AGAINST LIGHT,W 6TH STREET,RIO GRANDE,Y,,6294,Hispanic,Female
CO,10/8/2016,7:36 AM,CAMPING IN A PUBLIC PLACE,700 Block Red River Street,,Y,APD,6099,Black,Male
CO,10/8/2016,11:17 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,400 Block East 6th Street,,Y,APD,6290,White,Male
CM,10/8/2016,11:17 PM,Possession of Drug Paraphernalia,400 Block East 6th Street,,Y,APD,6290,White,Male
CO,10/8/2016,11:59 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7430,White,Male
CO,10/8/2016,12:11 AM,LITTERING,1000 Block East 5th Street,,Y,APD,6099,Black,Male
CO,10/8/2016,7:36 AM,CAMPING IN A PUBLIC PLACE,700 Block Red River Street,,Y,APD,6144,White,Female
CO,10/8/2016,10:21 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,90 Block Chalmers Street,,Y,APD,6099,Hispanic,Male
TR,10/8/2016,12:00 AM,PEDESTRIAN ON ROADWAY,200 Block East 6th Street,,Y,APD,6290,White,Male
CM,10/9/2016,11:29 PM,PUBLIC INTOXICATION,700 Block West 6th Street,,Y,APD,7638,White,Male
CO,10/9/2016,7:18 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block East 6th Street,,Y,APD,7240,White,Male
CM,10/9/2016,4:10 AM,PUBLIC INTOXICATION,2212 San Gabriel Street,,N,APD,8131,Black,Male
CM,10/9/2016,12:00 AM,PUBLIC INTOXICATION,600 Block East 6th Street,,Y,APD,7203,White,Male
CO,10/9/2016,7:15 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,7042,White,Male
CO,10/9/2016,9:32 AM,AGGRESSIVE SOLICITATION,Ih 35 And Cesar Chavez,,Y,APD,4951,White,Female
CM,10/9/2016,1:39 AM,PUBLIC INTOXICATION,400 Block East 6th Street,,Y,APD,6970,Asian,Male
CM,10/9/2016,11:57 PM,PUBLIC INTOXICATION,San Jacinto Boulevard And,East 6th Street,N,APD,7616,White,Female
CO,10/9/2016,7:18 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block East 6th Street,,Y,APD,7430,White,Male
CO,10/9/2016,9:15 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,300 Block Comal Street,,Y,APD,6144,Black,Male
CM,10/9/2016,12:00 AM,DISORDERLY CONDUCT - FIGHTING,400 Block East 6th Street,,Y,APD,6290,Hispanic,Male
CM,10/10/2016,1:15 AM,PUBLIC INTOXICATION,121 West 8th Street,,Y,APD,2641,White,Male
CO,10/10/2016,4:17 PM,CAMPING IN A PUBLIC PLACE,600 Block North Ih 35,,N,APD,6966,White,Female
CO,10/10/2016,4:30 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block North Ih 35,,Y,APD,4729,Black,Male
CO,10/10/2016,12:00 AM,CAMPING IN A PUBLIC PLACE,600 Block Brushy Creek,,Y,APD,6801,Black,Male
CO,10/10/2016,3:25 PM,AGGRESSIVE SOLICITATION,600 Block East 7th Street,,Y,APD,6488,Black,Male
CM,10/10/2016,2:21 AM,DRIVING UNDER INFLUENCE OF ALCOHOL BY MINOR,400 Block East 7th Street,,Y,APD,2568,Hispanic,Male
CM,10/10/2016,12:00 AM,PUBLIC INTOXICATION,500 Block East 7th Street,,Y,APD,7756,White,Male
CO,10/10/2016,4:08 PM,CAMPING IN A PUBLIC PLACE,600 Block Ih 35,,Y,APD,6966,White,Male
CO,10/10/2016,12:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block Lamar Boulevard,,N,APD,4973,White,Male
CO,10/10/2016,4:30 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block North Ih 35,,Y,APD,4729,No Data,Male
CM,10/10/2016,9:14 PM,PUBLIC INTOXICATION,323 East 6th Street,,Y,APD,7699,No Data,Male
CO,10/10/2016,12:20 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,8th Street,North Ih 35,Y,APD,4626,Black,Male
CO,10/10/2016,2:51 PM,AGGRESSIVE SOLICITATION,East 5th Street And Neches Street,,Y,APD,6966,White,Male
CO,10/10/2016,11:25 AM,CAMPING IN A PUBLIC PLACE,Ih 35,East 8th Street,N,APD,7202,Black,Male
CO,10/11/2016,3:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,Hispanic,Male
CM,10/11/2016,6:28 PM,Possession of Drug Paraphernalia,600 Block Neches Street,,Y,APD,6802,White,Male
CO,10/11/2016,2:06 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,900 Block North Ih 35 Service Road,,Y,APD,6159,Hispanic,Male
CO,10/11/2016,3:10 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,White,Male
CO,10/11/2016,2:10 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,900 Block North Ih 35 Service Road,,Y,APD,6159,White,Female
CM,10/11/2016,8:00 AM,DISORDERLY CONDUCT - FIGHTING,600 Block Brushy Street,,N,APD,6627,Black,Female
CO,10/11/2016,5:00 PM,"Possess, Consume, Sell Alcohol in Prohibited Park Area",700 Block East 11th Street,,Y,APD,5955,White,Male
CO,10/11/2016,3:10 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,White,Female
CO,10/11/2016,5:15 PM,"Possess, Consume, Sell Alcohol in Prohibited Park Area",1000 Block Red River Street,,Y,APD,6626,Black,Male
CO,10/11/2016,2:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5617,White,Male
CO,10/11/2016,2:09 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,900 Block North Ih 35 Service Road,,Y,APD,6159,White,Female
CO,10/11/2016,6:47 PM,HUMAN WASTE,500 Block East 6th Street,,Y,APD,6802,Black,Male
CM,10/11/2016,7:52 AM,DISORDERLY CONDUCT - FIGHTING,600 Block Brushy Street,,Y,APD,7491,White,Female
CO,10/11/2016,3:05 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,White,Male
CO,10/11/2016,3:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5617,White,Male
CO,10/11/2016,9:15 PM,AGGRESSIVE SOLICITATION,6th Street And Trinity Street,,Y,APD,7284,White,Female
CO,10/11/2016,6:18 PM,HUMAN WASTE,500 Block East 6th Street,,Y,APD,6802,Black,Male
CO,10/11/2016,9:43 PM,AGGRESSIVE SOLICITATION,300 Block East 6th Street,,Y,APD,6802,White,Male
CO,10/11/2016,4:15 PM,"Possess, Consume, Sell Alcohol in Prohibited Park Area",900 Block West 9th Street,,Y,APD,5955,White,Male
CO,10/11/2016,9:43 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,300 Block East 6th Street,,Y,APD,6802,White,Male
CO,10/11/2016,5:15 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,1000 Block Red River Street,,Y,APD,6626,Black,Male
CM,10/11/2016,7:00 PM,Possession of Drug Paraphernalia,600 Block Neches Street,,Y,APD,6802,White,Male
CO,10/11/2016,6:24 PM,HUMAN WASTE,500 Block East 6th Street,,Y,APD,6802,Black,Male
CO,10/11/2016,8:30 AM,CAMPING IN A PUBLIC PLACE,600 Block Brushy Street,,Y,APD,4631,Hispanic,Male
CO,10/11/2016,7:10 PM,HUMAN WASTE,500 Block East 6th Street,,Y,APD,6802,White,Male
CO,10/12/2016,10:30 PM,CAMPING IN A PUBLIC PLACE,500 Block East 6th Street,,N,APD,7765,Black,Male
CO,10/12/2016,7:27 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Sabine Street,,N,APD,6151,Hispanic,Female
CO,10/12/2016,7:27 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Sabine Street,,Y,APD,6151,Black,Male
CO,10/12/2016,6:38 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,6367,Hispanic,Male
CO,10/12/2016,6:25 PM,CAMPING IN A PUBLIC PLACE,6th Street At South Ih35 Service Road,,N,APD,6801,Hispanic,Female
CM,10/12/2016,11:15 PM,SIMPLE ASSAULT BY CONTACT,401 East 6th Street,,Y,APD,7597,Hispanic,Male
CO,10/12/2016,6:35 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,5351,White,Male
TR,10/12/2016,10:00 PM,PEDESTRIAN CROSSING MIDBLOCK,500 Block East 7th Street,,Y,APD,6822,Black,Male
CO,10/12/2016,10:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,400 Block East 6th Street,,Y,APD,7245,Hispanic,Male
CO,10/12/2016,6:25 PM,CAMPING IN A PUBLIC PLACE,6th Street At South Ih 35 Service Road,,Y,APD,6801,White,Female
CO,10/12/2016,10:30 PM,CAMPING IN A PUBLIC PLACE,500 Block East 6th Street,,Y,APD,7765,Hispanic,Female
CO,10/12/2016,6:40 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Neches Street,,Y,APD,6367,White,Male
CO,10/12/2016,9:41 AM,CAMPING IN A PUBLIC PLACE,600 Block North Ih 35 Service Road,,Y,APD,6971,Black,Male
CO,10/12/2016,7:25 AM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,600 Block Sabine Street,,Y,APD,6151,Black,Female
CM,10/12/2016,9:59 PM,SIMPLE ASSAULT BY CONTACT,East 3rd Street,Comal Street,Y,APD,7601,Black,Male
CO,10/13/2016,5:00 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block East 6th Street,,Y,APD,7284,White,Male
CO,10/13/2016,12:00 AM,AGGRESSIVE SOLICITATION,600 Block East Congress Avenue,,Y,APD,6155,White,Male
CO,10/13/2016,4:35 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,700 Block East 7th Street,,Y,APD,5617,Black,Male
CM,10/13/2016,10:42 AM,Possession of Drug Paraphernalia,500 Block East 5th Street,,Y,APD,6971,Hispanic,Male
CM,10/13/2016,8:26 PM,Possession of Drug Paraphernalia,7TH ST,RED RIVER ST,N,,7869,Black,Male
TR,10/13/2016,2:45 PM,PEDESTRIAN WALKING AGAINST LIGHT,500 Block East 7th Street,,Y,APD,5617,Black,Male
CM,10/13/2016,3:33 PM,Possession of Drug Paraphernalia,200 Block East 6th Street,,N,APD,6802,White,Male
CM,10/13/2016,5:00 PM,Possession of Drug Paraphernalia,500 Block East 6th Street,,Y,APD,7284,White,Male
CO,10/13/2016,4:00 PM,CONSUMING ALCOHOL IN A PUBLIC STREET,600 Block San Jacinto Boulevard,,Y,APD,5351,White,Male
CO,10/13/2016,3:05 PM,AGGRESSIVE SOLICITATION,9th Street At Congress Avenue,,Y,APD,3454,White,Male
CO,10/13/2016,5:25 PM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,500 Block East 7th Street,,Y,APD,6802,Black,Male
CM,10/13/2016,3:30 PM,Possession of Drug Paraphernalia,,,Y,APD,7284,Hispanic,Male
