Offense Case Type,Offense Date,Offense Time,Charges Description,Offense Street Name,Offense Cross Street,Case Closed,Agency,Officer Code,RACE,Defendant Gender
CM,10/1/2016,10:30 PM,PUBLIC INTOXICATION,201 San Jacinto Boulevard,,Y,APD,6489,Black,Male
CM,10/1/2016,12:00 AM,PUBLIC INTOXICATION,10th Street And San Jacinto Boulevard,,Y,APD,7625,White,Female
CM,10/1/2016,12:00 AM,PUBLIC INTOXICATION,406 East 6th Street,,Y,APD,7869,Hispanic,Male
CM,10/1/2016,12:00 AM,PUBLIC INTOXICATION,700 Block East 6th Street,,Y,APD,7284,White,Male
CO,10/1/2016,2:37 PM,Sitting or Lying Down on a Public Sidewalk or Sleeping Outdoors,500 Block Neches Street,,Y,APD,3900,White,Female
CO,10/1/2016,5:30 PM,AGGRESSIVE SOLICITATION,East 6th Street And Neches Street,,Y,APD,6488,Black,Male
CO,10/1/2016,10:18 AM,CONSUMING ALCOHOL IN A PUBLIC STREET,2500 Block Seton Avenue,,N,APD,3590,White,Male
CM,10/1/2016,9:35 PM,Possession of Drug Paraphernalia,500 Block East 6th Street,,Y,APD,7765,White,Male
CM,10/1/2016,1:45 AM,PUBLIC INTOXICATION,317 East 6th Street,,N,APD,7764,White,Male
CM,10/1/2016,8:20 PM,PUBLIC INTOXICATION,600 Block Sabine Street,,N,APD,7764,White,Male
CM,10/1/2016,12:00 AM,PUBLIC INTOXICATION,West 6th Street And Rio Grande Street,,Y,APD,6127,White,Male
CO,10/1/2016,9:18 AM,PEDESTRIAN IN ROADWAY/CITY ORDINANCE,7th Street And Congress Avenue,,Y,APD,3900,White,Male
CO,10/1/2016,2:30 PM,HUMAN WASTE,700 Block Red River Street,,N,APD,7491,White,Male
CM,10/1/2016,12:00 AM,Possession of Drug Paraphernalia,500 Block East 6th Street,,N,APD,7284,White,Female
TR,10/1/2016,12:00 AM,PEDESTRIAN WALKING AGAINST LIGHT,West 6th Street And Rio Grande Street,,Y,APD,6127,White,Male
CM,10/2/2016,1:42 AM,PUBLIC INTOXICATION,120 West 5th Street,,N,APD,7760,Black,Male
CM,10/2/2016,12:00 AM,PUBLIC INTOXICATION,404 East 6th Street,,Y,APD,7401,Hispanic,Male
TR,10/2/2016,12:34 AM,PEDESTRIAN WALKING AGAINST LIGHT,700 Block West 6th Street,,Y,APD,7699,White,Male
TR,10/2/2016,12:33 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Rio Grande Street,,Y,APD,7869,Hispanic,Male
TR,10/2/2016,12:30 AM,PEDESTRIAN WALKING AGAINST LIGHT,6th Street And Rio Grande Street,,Y,APD,7400,White,Male
