google_search,lon,lat
"800 Block East 8th Street Austin, TX",-97.7335121,30.2675049
"401 Comal Street Austin, TX",-97.7274164,30.2611972
"East 6th Street And Congress Avenue Austin, TX",-97.742813,30.268066
"6th Street And North Ih 35 Austin, TX",-97.7350274,30.2658909
"212 East 6th Street Austin, TX",-97.7408427,30.2678235
"400 Block West Cesar Chavez Austin, TX",-97.7486847,30.2648638
"2800 Block Guadalupe Street Austin, TX",-97.7421583,30.2934511
"Holly Street At North Ih35 Austin, TX",-97.7227868,30.2518902
"North Ih35 At West Cesar Chavez Street Austin, TX",-97.7370015,30.2618385
"North Ih35 At East Cesar Chavez Street Austin, TX",-97.7367715,30.2612203
"200 Block East 5th Street Austin, TX",-97.7418369,30.266756
"200 Block West 4th Street Austin, TX",-97.7448523,30.2665735
"800 Block West 6th Street Austin, TX",-97.7506641,30.2708146
"1450 Red River Austin, TX",-97.7350959,30.2751181
"1450 Red River Street Austin, TX",-97.7350959,30.2751181
"6th Street And Red River Austin, TX",-97.7371869,30.266475
"6th Street At Trinity Street Austin, TX",-97.739335,30.267068
"412 East 6th Street Austin, TX",-97.7386891,30.2671559
"412 Comal Street Austin, TX",-97.727264,30.2619079
"214 East 6th Street Austin, TX",-97.7406942,30.2678099
"6th Street At Trinity Austin, TX",-97.739335,30.267068
"314 East 6th Street Austin, TX",-97.7397287,30.2674975
"East 6th Street And Brazos Street Austin, TX",-97.741483,30.2676817
"717 East 7th Street Austin, TX",-97.7349548,30.2665706
"6th Street At San Jacinto Boulevard Austin, TX",-97.7404088,30.2673868
"Congress At 6th Street Austin, TX",-97.742813,30.268066
"6th Street At Neches Austin, TX",-97.738247,30.266782
"Congress Avenue At 8th Street Austin, TX",-97.7421066,30.2699197
"100 Block West 6th Street Austin, TX",-97.7428199,30.2680679
"500 Block Trinity Street Austin, TX",-97.7396808,30.2661534
"North Ih 35 And East 7th Street Austin, TX",-97.7346772,30.2668223
"East Cesar Chavez Street And Ih 35 Austin, TX",-97.7367715,30.2612203
"700 Block East Cesar Chavez Austin, TX",-97.7375406,30.2615526
"800 Block Brazos Street Austin, TX",-97.7410312,30.2699299
"East 3rd Street And Congress Avenue Austin, TX",-97.7438459,30.2652644
"715 Red River Street Austin, TX",-97.7363869,30.2679079
"1900 Block 6th Street Austin, TX",-97.7667436,30.2773409
"800 Block West Cesar Chavez Austin, TX",-97.7526626,30.2665637
"400 Block West 8th Street Austin, TX",-97.7456002,30.2708998
"100 Block East 9th Street Austin, TX",-97.7417589,30.2708536
"600 Block East 4th Street Austin, TX",-97.737249,30.264751
"700 Block North Ih 35 Service Road Austin, TX",-97.5906901,30.8529411
"500 Block Trinity Austin, TX",-97.7396808,30.2661534
"Cesar Chavez Street And Ih 35 Service Rd Austin, TX",-97.739615,30.2636608
"600 Block Trinity Street Austin, TX",-97.7393269,30.2672368
"615 Congress Avenue Austin, TX",-97.7422326,30.2685138
"519 East 7th Street Austin, TX",-97.7373842,30.2672891
"811 Congress Avenue Austin, TX",-97.7416915,30.2702813
"100 Block Colorado Austin, TX",-97.7460816,30.2639914
"617 Congress Austin, TX",-97.7422246,30.268585
"200 Block Lavaca Austin, TX",-97.7466255,30.2655492
"807 Brazos Street Austin, TX",-97.7403787,30.2701838
"600 Block San Jacinto Boulevard Austin, TX",-97.740405,30.2673971
"90 North Ih 35 Austin, TX",-97.7338972,30.2679472
"700 Block East 6th Street Austin, TX",-97.7358631,30.2663066
"500 Block Ih 35 Service Road Austin, TX",-97.4584622,31.0502623
"600 Block Ih35 Service Road Austin, TX",-97.5400244,30.943379
"200 Block East 8th Street Austin, TX",-97.7402698,30.2697161
"717 East 6th Street Austin, TX",-97.7354604,30.2658397
